node,type
G_308,gene
G_8021,gene
G_6886,gene
G_6887,gene
G_2322,gene
G_2782,gene
G_581,gene
G_613,gene
G_2348,gene
G_5184,gene
G_84466,gene
G_6340,gene
G_4318,gene
G_54453,gene
G_407053,gene
G_2671,gene
G_125336,gene
G_10111,gene
G_6513,gene
G_1528,gene
G_84733,gene
G_7092,gene
G_11081,gene
G_10019,gene
G_2057,gene
G_79659,gene
G_1187,gene
G_1188,gene
G_2048,gene
G_5146,gene
G_5972,gene
G_5311,gene
G_1969,gene
G_4157,gene
G_5663,gene
G_4137,gene
G_57167,gene
G_5727,gene
G_2736,gene
G_79718,gene
G_8647,gene
G_79728,gene
G_487,gene
G_775,gene
G_3423,gene
G_25836,gene
G_22873,gene
G_2677,gene
G_3000,gene
G_57724,gene
G_506,gene
G_51314,gene
G_4540,gene
G_4541,gene
G_4535,gene
G_4536,gene
G_4538,gene
G_4514,gene
G_4519,gene
G_4539,gene
G_114625,gene
G_4175,gene
G_89884,gene
G_64785,gene
G_667,gene
G_7038,gene
G_23742,gene
G_338433,gene
G_10108,gene
G_100033413,gene
G_7681,gene
G_8924,gene
G_791114,gene
G_145624,gene
G_54551,gene
G_3653,gene
G_2994,gene
G_55243,gene
G_317761,gene
G_64065,gene
G_10655,gene
G_6092,gene
G_4627,gene
G_7007,gene
G_57007,gene
G_5702,gene
G_9780,gene
G_64856,gene
G_10743,gene
G_5864,gene
G_439,gene
G_2019,gene
G_51528,gene
G_819,gene
G_51608,gene
G_64327,gene
G_219972,gene
G_1830,gene
G_7174,gene
G_58472,gene
G_4613,gene
G_1201,gene
G_51729,gene
G_6304,gene
G_147912,gene
G_8883,gene
G_55186,gene
G_9563,gene
G_84265,gene
G_570,gene
G_51066,gene
G_84196,gene
G_920,gene
G_390595,gene
G_6295,gene
G_8452,gene
G_435,gene
G_80036,gene
G_7345,gene
G_55884,gene
G_3248,gene
G_63895,gene
G_11077,gene
G_493856,gene
G_158326,gene
G_55640,gene
G_23112,gene
G_358,gene
G_91875,gene
G_100127206,gene
G_54800,gene
G_57685,gene
G_5705,gene
G_84033,gene
G_101954271,gene
G_4773,gene
G_101954278,gene
G_10551,gene
G_103625684,gene
G_26827,gene
G_6508,gene
G_60386,gene
G_26834,gene
G_10436,gene
G_1497,gene
G_6554,gene
G_284382,gene
G_6389,gene
G_55605,gene
G_1315,gene
G_7716,gene
G_6532,gene
G_3356,gene
G_256472,gene
G_779,gene
G_81615,gene
G_55901,gene
G_6599,gene
G_10079,gene
G_23383,gene
G_2801,gene
G_64802,gene
G_3690,gene
G_27185,gene
G_55181,gene
G_1893,gene
G_375056,gene
G_8516,gene
G_23500,gene
G_284361,gene
G_3683,gene
G_5256,gene
G_29105,gene
G_100151684,gene
G_4771,gene
G_5728,gene
G_4330,gene
G_6605,gene
G_5155,gene
G_283450,gene
G_5138,gene
G_265,gene
G_128,gene
G_6770,gene
G_26960,gene
G_9722,gene
G_1593,gene
G_781,gene
G_2776,gene
G_9211,gene
G_51343,gene
G_84678,gene
G_10093,gene
G_4976,gene
G_4016,gene
G_23149,gene
G_1638,gene
G_644096,gene
G_841,gene
G_29072,gene
G_4233,gene
G_285521,gene
G_4884,gene
G_5729,gene
G_3242,gene
G_26153,gene
G_55157,gene
G_338657,gene
G_678,gene
G_153,gene
G_79605,gene
G_58528,gene
G_7125,gene
G_63915,gene
G_6868,gene
G_1185,gene
G_645104,gene
G_4718,gene
G_4001,gene
G_283677,gene
G_89876,gene
G_1801,gene
G_93627,gene
G_9249,gene
G_9570,gene
G_29967,gene
G_54675,gene
G_55270,gene
G_5725,gene
G_823,gene
G_10555,gene
G_56984,gene
G_5313,gene
G_222663,gene
G_80726,gene
G_23116,gene
G_6687,gene
G_23036,gene
G_55148,gene
G_55775,gene
G_342618,gene
G_23545,gene
G_3070,gene
G_83879,gene
G_54872,gene
G_7467,gene
G_10815,gene
G_1487,gene
G_53834,gene
G_7468,gene
G_3954,gene
G_79669,gene
G_54084,gene
G_2259,gene
G_699,gene
G_9653,gene
G_3735,gene
G_84138,gene
G_3105,gene
G_3106,gene
G_56006,gene
G_10846,gene
G_8379,gene
