gene_id,gene_symbol,disease_id,association_type
23269,MGA,OMIM:621065,MENDELIAN
29761,USP25,OMIM:621064,POLYGENIC
4054,LTBP3,OMIM:617809,MENDELIAN
10075,HUWE1,OMIM:309590,MENDELIAN
2987,GUK1,OMIM:621071,MENDELIAN
8733,GPAA1,OMIM:617810,MENDELIAN
4688,NCF2,OMIM:233710,MENDELIAN
199699,DAND5,OMIM:621079,MENDELIAN
5279,PIGC,OMIM:617816,MENDELIAN
50943,FOXP3,OMIM:304790,MENDELIAN
26353,HSPB8,OMIM:621078,MENDELIAN
148345,CIROZ,OMIM:621080,MENDELIAN
84162,BLTP1,OMIM:617822,MENDELIAN
1806,DPYD,OMIM:274270,MENDELIAN
1278,COL1A2,OMIM:617821,MENDELIAN
2902,GRIN1,OMIM:617820,MENDELIAN
2263,FGFR2,OMIM:207410,MENDELIAN
5447,POR,OMIM:207410,MENDELIAN
10587,TXNRD2,OMIM:617825,MENDELIAN
3861,KRT14,OMIM:131800,MENDELIAN
2561,GABRB2,OMIM:617829,MENDELIAN
54822,TRPM7,OMIM:105500,POLYGENIC
9837,GINS1,OMIM:617827,MENDELIAN
7187,TRAF3,OMIM:621096,MENDELIAN
9531,BAG3,OMIM:621095,MENDELIAN
9531,BAG3,OMIM:621094,MENDELIAN
80336,PABPC1L,OMIM:621093,MENDELIAN
5159,PDGFRB,OMIM:621091,MENDELIAN
25953,PNKD,OMIM:118800,MENDELIAN
128338,DRAM2,OMIM:616502,MENDELIAN
10560,SLC19A2,OMIM:249270,MENDELIAN
388753,COA6,OMIM:616501,MENDELIAN
116150,NUS1,OMIM:617831,MENDELIAN
493753,COA5,OMIM:616500,MENDELIAN
4915,NTRK2,OMIM:617830,MENDELIAN
79947,DHDDS,OMIM:617836,MENDELIAN
91137,SLC25A46,OMIM:616505,MENDELIAN
57211,ADGRG6,OMIM:616503,MENDELIAN
4047,LSS,OMIM:616509,MENDELIAN
311,ANXA11,OMIM:617839,MENDELIAN
6678,SPARC,OMIM:616507,MENDELIAN
1490,CCN2,OMIM:621099,MENDELIAN
10804,GJB6,OMIM:129500,MENDELIAN
3662,IRF4,OMIM:621097,MENDELIAN
3784,KCNQ1,OMIM:220400,MENDELIAN
2632,GBE1,OMIM:263570,MENDELIAN
4891,SLC11A2,OMIM:206100,MENDELIAN
26060,APPL1,OMIM:616511,POLYGENIC
22926,ATF6,OMIM:616517,MENDELIAN
4000,LMNA,OMIM:616516,MENDELIAN
9750,RIPOR2,OMIM:616515,MENDELIAN
653361,NCF1,OMIM:233700,MENDELIAN
27019,DNAI1,OMIM:244400,MENDELIAN
3892,KRT86,OMIM:158000,MENDELIAN
2703,GJA8,OMIM:116200,MENDELIAN
26580,BSCL2,OMIM:269700,MENDELIAN
1213,CLTC,OMIM:617854,MENDELIAN
131669,UROC1,OMIM:276880,MENDELIAN
23040,MYT1L,OMIM:616521,MENDELIAN
203228,C9ORF72,OMIM:105550,MENDELIAN
11235,PDCD10,OMIM:603285,MENDELIAN
83605,CCM2,OMIM:603284,MENDELIAN
81,ACTN4,OMIM:603278,MENDELIAN
8022,LHX3,OMIM:221750,MENDELIAN
122553,TRAPPC6B,OMIM:617862,MENDELIAN
5297,PI4KA,OMIM:616531,MENDELIAN
112752,IFT43,OMIM:617866,MENDELIAN
3026,HABP2,OMIM:616535,POLYGENIC
57688,ZSWIM6,OMIM:617865,MENDELIAN
2304,FOXE1,OMIM:616534,POLYGENIC
2893,GRIA4,OMIM:617864,MENDELIAN
81562,LMAN2L,OMIM:617863,MENDELIAN
3661,IRF3,OMIM:616532,POLYGENIC
57570,TRMT5,OMIM:616539,MENDELIAN
50615,IL21R,OMIM:615207,MENDELIAN
1605,DAG1,OMIM:616538,MENDELIAN
55612,FERMT1,OMIM:173650,MENDELIAN
84433,CARD11,OMIM:615206,MENDELIAN
50945,TBX22,OMIM:303400,MENDELIAN
54802,TRIT1,OMIM:617873,MENDELIAN
51081,MRPS7,OMIM:617872,MENDELIAN
7518,XRCC4,OMIM:616541,MENDELIAN
112752,IFT43,OMIM:617871,MENDELIAN
84823,LMNB2,OMIM:616540,MENDELIAN
650,BMP2,OMIM:617877,MENDELIAN
9786,KIAA0586,OMIM:616546,MENDELIAN
5295,PIK3R1,OMIM:615214,MENDELIAN
178,AGL,OMIM:232400,MENDELIAN
4041,LRP5,OMIM:617875,MENDELIAN
138050,HGSNAT,OMIM:616544,MENDELIAN
79053,ALG8,OMIM:617874,MENDELIAN
84700,MYO18B,OMIM:616549,MENDELIAN
8777,MPDZ,OMIM:615219,MENDELIAN
10383,TUBB4B,OMIM:617879,MENDELIAN
23533,PIK3R5,OMIM:615217,MENDELIAN
1285,COL4A3,OMIM:104200,MENDELIAN
65057,ACD,OMIM:616553,MENDELIAN
7471,WNT1,OMIM:615221,POLYGENIC
672,BRCA1,OMIM:617883,MENDELIAN
83452,RAB33B,OMIM:615222,MENDELIAN
7305,TYROBP,OMIM:221770,MENDELIAN
54209,TREM2,OMIM:221770,MENDELIAN
4747,NEFL,OMIM:617882,MENDELIAN
7471,WNT1,OMIM:615220,MENDELIAN
22861,NLRP1,OMIM:615225,MENDELIAN
7700,ZNF141,OMIM:615226,MENDELIAN
109,ADCY3,OMIM:617885,POLYGENIC
1453,CSNK1D,OMIM:615224,MENDELIAN
6655,SOS2,OMIM:616559,MENDELIAN
498,ATP5F1A,OMIM:615228,MENDELIAN
7072,TIA1,OMIM:604454,MENDELIAN
23646,PLD3,OMIM:617770,MENDELIAN
4638,MYLK,OMIM:249210,MENDELIAN
9853,RUSC2,OMIM:617773,MENDELIAN
9860,LRIG2,OMIM:615112,MENDELIAN
114548,NLRP3,OMIM:617772,MENDELIAN
4750,NEK1,OMIM:263520,MENDELIAN
343450,KCNT2,OMIM:617771,MENDELIAN
2778,GNAS,OMIM:174800,MENDELIAN
84818,IL17RC,OMIM:616445,MENDELIAN
220,ALDH1A3,OMIM:615113,MENDELIAN
1355,COX15,OMIM:615119,MENDELIAN
81857,MED25,OMIM:616449,MENDELIAN
4693,NDP,OMIM:310600,MENDELIAN
267010,RNU12,OMIM:603116,MENDELIAN
9742,IFT140,OMIM:617781,MENDELIAN
65267,WNK3,OMIM:309610,MENDELIAN
4522,MTHFD1,OMIM:617780,MENDELIAN
939,CD27,OMIM:615122,MENDELIAN
55159,RFWD3,OMIM:617784,MENDELIAN
25959,KANK2,OMIM:617783,MENDELIAN
84433,CARD11,OMIM:616452,MENDELIAN
375790,AGRN,OMIM:615120,MENDELIAN
8792,TNFRSF11A,OMIM:174810,MENDELIAN
200205,IBA57,OMIM:616451,MENDELIAN
51111,KMT5B,OMIM:617788,MENDELIAN
790,CAD,OMIM:616457,MENDELIAN
55689,YEATS2,OMIM:615127,MENDELIAN
80155,NAA15,OMIM:617787,MENDELIAN
526,ATP6V1B2,OMIM:616455,MENDELIAN
28960,DCPS,OMIM:616459,MENDELIAN
1991,ELANE,OMIM:162800,MENDELIAN
146057,TTBK2,OMIM:604432,MENDELIAN
51083,GAL,OMIM:616461,MENDELIAN
80153,EDC3,OMIM:616460,MENDELIAN
55870,ASH1L,OMIM:617796,MENDELIAN
7015,TERT,OMIM:615134,POLYGENIC
25885,POLR1A,OMIM:616462,MENDELIAN
79797,ZNF408,OMIM:616469,MENDELIAN
816,CAMK2B,OMIM:617799,MENDELIAN
79797,ZNF408,OMIM:616468,MENDELIAN
815,CAMK2A,OMIM:617798,MENDELIAN
152926,PPM1K,OMIM:615135,MENDELIAN
5426,POLE,OMIM:615139,MENDELIAN
1441,CSF3R,OMIM:162830,MENDELIAN
4059,BCAM,OMIM:111200,MENDELIAN
1303,COL12A1,OMIM:616471,MENDELIAN
1303,COL12A1,OMIM:616470,MENDELIAN
55714,TENM3,OMIM:615145,MENDELIAN
246243,RNASEH1,OMIM:616479,MENDELIAN
1482,NKX2-5,OMIM:225250,MENDELIAN
5950,RBP4,OMIM:615147,MENDELIAN
112476,PRRT2,OMIM:605751,MENDELIAN
8241,RBM10,OMIM:311900,MENDELIAN
9051,PSTPIP1,OMIM:604416,MENDELIAN
51594,NBAS,OMIM:616483,MENDELIAN
2261,FGFR3,OMIM:616482,MENDELIAN
83861,RSPH3,OMIM:616481,MENDELIAN
5339,PLEC,OMIM:616487,MENDELIAN
85301,COL27A1,OMIM:615155,MENDELIAN
84879,MFSD2A,OMIM:616486,MENDELIAN
1763,DNA2,OMIM:615156,MENDELIAN
27089,UQCRQ,OMIM:615159,MENDELIAN
1001,CDH3,OMIM:225280,MENDELIAN
3481,IGF2,OMIM:616489,MENDELIAN
54902,TTC19,OMIM:615157,MENDELIAN
6023,RMRP,OMIM:250250,MENDELIAN
59335,PRDM12,OMIM:616488,MENDELIAN
7381,UQCRB,OMIM:615158,MENDELIAN
6323,SCN1A,OMIM:604403,MENDELIAN
9786,KIAA0586,OMIM:616490,MENDELIAN
79188,TMEM43,OMIM:604400,MENDELIAN
9533,POLR1C,OMIM:616494,MENDELIAN
7385,UQCRC2,OMIM:615160,MENDELIAN
4669,NAGLU,OMIM:616491,MENDELIAN
3630,INS,OMIM:125852,MENDELIAN
6934,TCF7L2,OMIM:125853,POLYGENIC
5078,PAX4,OMIM:125853,MENDELIAN
3667,IRS1,OMIM:125853,POLYGENIC
6927,HNF1A,OMIM:125853,POLYGENIC
3569,IL6,OMIM:125853,POLYGENIC
3767,KCNJ11,OMIM:125853,POLYGENIC
6928,HNF1B,OMIM:125853,MENDELIAN
5770,PTPN1,OMIM:125853,POLYGENIC
5506,PPP1R3A,OMIM:125853,MENDELIAN
169026,SLC30A8,OMIM:125853,POLYGENIC
6833,ABCC8,OMIM:125853,MENDELIAN
4760,NEUROD1,OMIM:125853,POLYGENIC
6514,SLC2A2,OMIM:125853,POLYGENIC
8660,IRS2,OMIM:125853,POLYGENIC
2820,GPD2,OMIM:125853,POLYGENIC
208,AKT2,OMIM:125853,MENDELIAN
5167,ENPP1,OMIM:125853,POLYGENIC
5468,PPARG,OMIM:125853,MENDELIAN
2645,GCK,OMIM:125853,MENDELIAN
3159,HMGA1,OMIM:125853,POLYGENIC
9479,MAPK8IP1,OMIM:125853,POLYGENIC
56729,RETN,OMIM:125853,POLYGENIC
3990,LIPC,OMIM:125853,POLYGENIC
7466,WFS1,OMIM:125853,POLYGENIC
3172,HNF4A,OMIM:125853,POLYGENIC
4544,MTNR1B,OMIM:125853,POLYGENIC
3651,PDX1,OMIM:125853,POLYGENIC
10644,IGF2BP2,OMIM:125853,POLYGENIC
3172,HNF4A,OMIM:125850,MENDELIAN
2645,GCK,OMIM:125851,MENDELIAN
675,BRCA2,OMIM:605724,MENDELIAN
10280,SIGMAR1,OMIM:605726,MENDELIAN
3386,ICAM4,OMIM:111250,MENDELIAN
79651,RHBDF2,OMIM:148500,MENDELIAN
83938,LRMDA,OMIM:615179,MENDELIAN
23189,KANK1,OMIM:612900,MENDELIAN
7476,WNT7A,OMIM:276820,MENDELIAN
1832,DSP,OMIM:612908,MENDELIAN
5080,PAX6,OMIM:136520,MENDELIAN
351,APP,OMIM:605714,MENDELIAN
148789,B3GALNT2,OMIM:615181,MENDELIAN
27247,NFU1,OMIM:605711,MENDELIAN
1410,CRYAB,OMIM:615184,MENDELIAN
59345,GNB4,OMIM:615185,MENDELIAN
6576,SLC25A1,OMIM:615182,MENDELIAN
1419,CRYGB,OMIM:615188,MENDELIAN
2271,FH,OMIM:150800,MENDELIAN
2879,GPX4,OMIM:250220,MENDELIAN
5290,PIK3CA,OMIM:612918,MENDELIAN
3912,LAMB1,OMIM:615191,MENDELIAN
2235,FECH,OMIM:177000,MENDELIAN
51750,RTEL1,OMIM:615190,MENDELIAN
199713,NLRP7,OMIM:231090,MENDELIAN
87,ACTN1,OMIM:615193,MENDELIAN
79705,LRRK1,OMIM:615198,MENDELIAN
359,AQP2,OMIM:125800,MENDELIAN
2778,GNAS,OMIM:166350,MENDELIAN
4179,CD46,OMIM:612922,POLYGENIC
23363,OBSL1,OMIM:612921,MENDELIAN
629,CFB,OMIM:612924,POLYGENIC
6916,TBXAS1,OMIM:231095,MENDELIAN
3426,CFI,OMIM:612923,POLYGENIC
7056,THBD,OMIM:612926,POLYGENIC
718,C3,OMIM:612925,POLYGENIC
170302,ARX,OMIM:308350,MENDELIAN
3848,KRT1,OMIM:113800,MENDELIAN
