gene_id,disease_id
7490,OMIM:256370
55975,OMIM:612943
92344,OMIM:231070
2218,OMIM:611615
3897,OMIM:307000
23203,OMIM:213200
56652,OMIM:609286
8604,OMIM:612949
2771,OMIM:192605
27031,OMIM:267010
6795,OMIM:243060
85366,OMIM:192600
859,OMIM:192600
4624,OMIM:192600
4625,OMIM:192600
390594,OMIM:609273
2706,OMIM:124500
8635,OMIM:612951
1200,OMIM:609270
8398,OMIM:612953
25939,OMIM:612952
5573,OMIM:101800
6640,OMIM:612955
9531,OMIM:612954
1804,OMIM:612956
54507,OMIM:225200
977,OMIM:179620
9927,OMIM:609260
2254,OMIM:612961
2516,OMIM:612964
2516,OMIM:612965
2301,OMIM:612968
6469,OMIM:611638
11200,OMIM:609265
10060,OMIM:239850
64131,OMIM:264800
64132,OMIM:264800
368,OMIM:264800
79365,OMIM:612975
200373,OMIM:279000
23529,OMIM:610313
6927,OMIM:142330
9657,OMIM:609254
3549,OMIM:112500
8200,OMIM:201250
3851,OMIM:193900
4668,OMIM:609241
9487,OMIM:280000
84233,OMIM:612989
84153,OMIM:610329
4668,OMIM:609242
26580,OMIM:270685
4254,OMIM:611664
10535,OMIM:610333
117155,OMIM:612997
117144,OMIM:612997
161497,OMIM:612997
8823,OMIM:309630
23224,OMIM:612999
8517,OMIM:308300
9935,OMIM:166300
23345,OMIM:612998
10262,OMIM:154400
3852,OMIM:131760
3861,OMIM:131760
80821,OMIM:609340
494513,OMIM:610220
84515,OMIM:612885
5894,OMIM:611554
5894,OMIM:611553
2997,OMIM:611556
79755,OMIM:610227
3291,OMIM:218030
2629,OMIM:608013
3909,OMIM:245660
6335,OMIM:243000
23322,OMIM:611561
23322,OMIM:611560
846,OMIM:612899
4868,OMIM:256300
7827,OMIM:600995
1687,OMIM:600994
1427,OMIM:116100
1029,OMIM:155755
348,OMIM:269600
5173,OMIM:610245
10939,OMIM:610246
7840,OMIM:203800
5896,OMIM:233650
5897,OMIM:233650
6598,OMIM:609322
4212,OMIM:600987
65055,OMIM:610250
217,OMIM:610251
79813,OMIM:610253
6663,OMIM:611584
2301,OMIM:610256
2629,OMIM:231005
2218,OMIM:611588
3265,OMIM:218040
1174,OMIM:609313
4292,OMIM:609310
121512,OMIM:609311
7915,OMIM:271980
2629,OMIM:231000
2335,OMIM:184255
1280,OMIM:184255
129563,OMIM:267000
10585,OMIM:609308
117531,OMIM:600974
59341,OMIM:184252
259236,OMIM:600971
443,OMIM:271900
1280,OMIM:184253
1938,OMIM:609306
1836,OMIM:600972
83394,OMIM:600977
1545,OMIM:600975
4053,OMIM:600975
7010,OMIM:600975
1280,OMIM:184250
6521,OMIM:611590
222662,OMIM:610265
8419,OMIM:611597
79751,OMIM:609304
8626,OMIM:129400
9719,OMIM:231050
3848,OMIM:600962
9321,OMIM:184260
7466,OMIM:600965
554,OMIM:304800
1299,OMIM:600969
488,OMIM:101900
4920,OMIM:268310
5122,OMIM:600955
50484,OMIM:268315
64218,OMIM:610282
64218,OMIM:610283
1535,OMIM:233690
157570,OMIM:268300
23636,OMIM:271930
9775,OMIM:268305
93183,OMIM:610293
1294,OMIM:131750
27429,OMIM:610297
10382,OMIM:128101
1861,OMIM:128100
1738,OMIM:246900
7080,OMIM:118700
91179,OMIM:600920
287,OMIM:600919
10525,OMIM:233600
3459,OMIM:209950
11093,OMIM:274150
6301,OMIM:617709
51259,OMIM:603194
56155,OMIM:617707
254528,OMIM:617706
324,OMIM:135290
7784,OMIM:617712
5530,OMIM:617711
10352,OMIM:617710
708,OMIM:617713
124583,OMIM:617719
10095,OMIM:617718
2232,OMIM:617717
2178,OMIM:600901
1294,OMIM:131705
7453,OMIM:617721
55644,OMIM:617729
2006,OMIM:185500
4352,OMIM:604498
3643,OMIM:262190
2464,OMIM:136570
112858,OMIM:617730
163786,OMIM:616402
84617,OMIM:617732
51002,OMIM:617731
162514,OMIM:616400
2548,OMIM:232300
1917,OMIM:616409
2697,OMIM:104100
7222,OMIM:616410
1314,OMIM:616414
4780,OMIM:617744
9213,OMIM:616413
197135,OMIM:617743
1293,OMIM:616411
89,OMIM:617749
54805,OMIM:616418
7291,OMIM:617746
4913,OMIM:616415
10342,OMIM:604484
29929,OMIM:603147
9320,OMIM:617752
6529,OMIM:616421
5879,OMIM:617751
29920,OMIM:616420
3889,OMIM:617756
6662,OMIM:616425
2186,OMIM:617755
5950,OMIM:616428
6469,OMIM:147250
51684,OMIM:617757
4810,OMIM:302200
26229,OMIM:245600
9469,OMIM:245600
23404,OMIM:617763
55331,OMIM:617762
153241,OMIM:617761
92935,OMIM:616430
51776,OMIM:617760
10464,OMIM:617767
5649,OMIM:616436
29089,OMIM:616435
359948,OMIM:617765
7372,OMIM:258900
1794,OMIM:616433
5290,OMIM:615108
29110,OMIM:616439
207,OMIM:615109
2196,OMIM:617769
58508,OMIM:617768
8878,OMIM:616437
100144748,OMIM:615107
1639,OMIM:105400
6647,OMIM:105400
5630,OMIM:105400
4744,OMIM:105400
9990,OMIM:218000
261734,OMIM:606996
5358,OMIM:300910
3071,OMIM:618982
10159,OMIM:300911
2525,OMIM:618983
340533,OMIM:300912
1144,OMIM:616322
1144,OMIM:616321
5913,OMIM:616326
4593,OMIM:616325
2539,OMIM:300908
8573,OMIM:300908
1145,OMIM:616324
7512,OMIM:300909
4919,OMIM:617654
1144,OMIM:616323
6777,OMIM:618985
5880,OMIM:618986
3767,OMIM:616329
5880,OMIM:618987
5165,OMIM:300905
5521,OMIM:604326
4552,OMIM:236270
3872,OMIM:184500
54344,OMIM:618992
23498,OMIM:617660
24137,OMIM:300923
65993,OMIM:617664
374462,OMIM:617663
64412,OMIM:617662
1855,OMIM:616331
8942,OMIM:617661
6616,OMIM:616330
387787,OMIM:617668
57582,OMIM:615005
51360,OMIM:300918
23426,OMIM:617667
6487,OMIM:615006
8239,OMIM:300919
341640,OMIM:617666
27229,OMIM:616335
7532,OMIM:617665
55690,OMIM:615009
1288,OMIM:300914
3149,OMIM:300915
10686,OMIM:248250
149041,OMIM:618998
16,OMIM:616339
5159,OMIM:615007
3716,OMIM:618999
51112,OMIM:617669
8526,OMIM:615008
3508,OMIM:604320
57082,OMIM:604321
4625,OMIM:160500
284403,OMIM:604317
2212,OMIM:219700
1080,OMIM:219700
7040,OMIM:219700
219285,OMIM:159550
9071,OMIM:617671
9885,OMIM:616340
55154,OMIM:617675
1020,OMIM:616342
103,OMIM:615010
7343,OMIM:617672
150094,OMIM:616341
85007,OMIM:615011
1759,OMIM:616346
3665,OMIM:616345
124872,OMIM:615018
1716,OMIM:251880
1181,OMIM:605635
261734,OMIM:606966
4620,OMIM:605637
1420,OMIM:604307
4524,OMIM:236250
3162,OMIM:606963
4282,OMIM:604302
3569,OMIM:604302
1105,OMIM:617682
10087,OMIM:616351
1500,OMIM:617681
2778,OMIM:617686
5528,OMIM:616355
204219,OMIM:615023
2200,OMIM:604308
57231,OMIM:616354
285848,OMIM:615024
5073,OMIM:616353
8706,OMIM:615021
23086,OMIM:615028
1428,OMIM:616357
55526,OMIM:615025
55065,OMIM:615026
9241,OMIM:185800
7299,OMIM:606952
5518,OMIM:616362
113612,OMIM:615030
2153,OMIM:188055
9895,OMIM:615031
2911,OMIM:617691
402381,OMIM:617690
3737,OMIM:616366
63982,OMIM:615034
91574,OMIM:615035
55773,OMIM:617695
23126,OMIM:616364
57680,OMIM:615032
8558,OMIM:617694
23259,OMIM:615033
4524,OMIM:188050
3026,OMIM:188050
2147,OMIM:188050
2162,OMIM:188050
27125,OMIM:616368
92609,OMIM:617698
1909,OMIM:616367
5836,OMIM:232700
58,OMIM:161800
7173,OMIM:274500
124590,OMIM:606943
51750,OMIM:616373
10329,OMIM:615041
8818,OMIM:615042
5073,OMIM:616371
122961,OMIM:616370
8989,OMIM:615040
83636,OMIM:615043
400916,OMIM:615048
149233,OMIM:605606
57679,OMIM:205100
345193,OMIM:615058
2779,OMIM:616389
6635,OMIM:615059
5741,OMIM:146200
286204,OMIM:219730
2697,OMIM:218400
5961,OMIM:136880
6017,OMIM:136880
5959,OMIM:136880
6010,OMIM:136880
2071,OMIM:616390
404672,OMIM:616395
26160,OMIM:616394
1917,OMIM:616393
3752,OMIM:616399
93233,OMIM:615067
79734,OMIM:616398
9427,OMIM:615065
55151,OMIM:615066
344,OMIM:207750
2583,OMIM:609195
7046,OMIM:609192
7227,OMIM:190350
341640,OMIM:123570
7227,OMIM:190351
9949,OMIM:300990
139212,OMIM:300991
51574,OMIM:615071
57459,OMIM:615074
6134,OMIM:300998
1499,OMIM:615075
8200,OMIM:615072
1291,OMIM:254090
2774,OMIM:615073
8473,OMIM:300997
9526,OMIM:609180
2263,OMIM:123500
317719,OMIM:615081
442186,OMIM:615082
54209,OMIM:615080
29887,OMIM:615085
1747,OMIM:190320
5426,OMIM:615083
92667,OMIM:615084
8492,OMIM:249500
2250,OMIM:190330
176,OMIM:612813
23218,OMIM:139090
10916,OMIM:300971
